,screen_name,location,created_at,text,age,gender,is_org
0,04095c3b703795039c0af8a5a0ad04e97b7e18f4fa37858ce830dc8b69af88b4,,2021-01-07 16:59:37+00:00,"@huseyingunayDC Bir daha cesareti olan , yok iklim anlaşmasından çıktım, dünya sağlık örgütünden çıktım, iklim değişikliği saçmalık, desin bakalım, dünyayı yıkıyorlar Trump’ın başına",<=18,male,non-org
1,cc7d409260bc5339a252a4ddd878a3ea5c4e173995aa4fc556b25325286e4c7d,Adapazarı,2021-01-06 07:48:13+00:00,"Sınırların güvenliğini sağlamak ve ülkenin bekasını koruma altına almayı sağlamaktan çok nüfus artışı,çevre kirliliği,su kaynaklarının azalması,iklim değişikliği,göç,gıda ve sağlık krizleri nedeniyle devletler öncelikle daha çok bu konularla ilgili yatırım ve planlama yapmalıdır.",19-29,male,non-org
2,0d8dd7420898017342e92541f102f79c0a51fb8d1cbaed2199ae6f701ef5b625,Yedek Hesap : @NMKGGKMN,2021-01-05 20:19:46+00:00,"İsmini yazmak istemiyorum o ş...sizin...( B!LL G4T3S )
Ne demişti...
""Zaten bundan sonraki süreçte ölümlerin bir bölümüne ,  Tükenen sağlık sistemi , iklim değişikliği ve ekonomik sebepler neden olacak."" https://t.co/N5iykuARlU",<=18,male,non-org
3,92b97474b0933964155542e57f8d1aedaad33185008786748a26353a856c9b0b,,2021-01-05 13:07:38+00:00,"Küresel ısınma ve iklim değişikliği Izmir'de;
• Temiz su potansiyelinde azalma
• Taşkın akımlarında artış
• Tarım ve hayvancılık ile gıda güvenliği konuları, 
• Turizm, Sanayi ve Sağlık gibi çok konuda sorun yaratacak.#izmirskga #sustaniabledevelopmentgoals #localdevelopment",>=40,male,is-org
4,7805eb28a14ade5fc68b6c1f80cb87fede1ec7185a1c6123605f62302b801cb7,,2021-01-04 06:03:56+00:00,"@FOXhaber @KucukkayaIsmail Slm.Iyi yayınlar, yeni yılıniz sağlıkla geçsin. 
Geçen yıl davoz zirvesinde birçok ülke iklim değişikliği ve doğal afet programı yapmıştı.Çok merak ediyorum,iktidar bu programda ne sundu?Ne yaptı?Ormanları yetişmiş ağaçları kesip sonra 1milyon fide dikildi? 
#SosyalDevletNeYapar",<=18,female,non-org
5,9cf048301255205bf63cb92b220b0f79fceaddc5d79abdf851bd3d0ecb4ef6da,,2021-01-03 12:17:08+00:00,"DSÖ'den korkutan salgın açıklaması

Dünya Sağlık Örgütü (DSÖ) başkanı Tedros Adhanom Ghebreyesu, korona virüs krizinin son salgın olmayacağını ve insan sağlığını iyileştirme girişimlerinin iklim değişikliği ile mücadele edilmeden “başarısız” olacağını ifade etti. https://t.co/sbmi8eSGIz",<=18,male,is-org
6,87d613b3e1730e8b65625b076791563fc2971b970ac85140b3ca0d29d66e5aaf,,2021-01-03 09:50:31+00:00,Prof. Dr. Mikdat Kadıoğlu: 'Kuraklık konusunda asıl neden iklim değişikliği değil' https://t.co/LD8cOAbw5F #Cumhuriyet #cumhuriyetgzt @cumhuriyetgzt Dilinize sağlık hocam.,<=18,male,non-org
7,3297b525cc25dbb6e85bb41f24f304e790287f3cd16cdc11b1eb948c93e3c9dd,,2021-01-12 13:28:54+00:00,"Türkiye'deki çiftçiler için en büyük sorun nedir?
sizce nedir? 
düşük maaş, yevmiye, ücret, yoksulluk, susuzluk, kuraklık, iklim değişikliği, pandemi, kötü koşullar, eğitim, sağlık, ulaşım maliyeti ....
#Türkiye #izmir #tarım #çiftçi #koronavirus #pandemic https://t.co/9NLZDLaoSH",>=40,male,is-org
8,99fa9c4c09b14213a7e92d540d54d1e1817bf9258834e6c442fdfc93673a8366,İstanbul,2021-01-20 20:12:08+00:00,"Biden yönetimi Beyaz Saray websitesini güncellenmiş, 6 iç politika önceliği var: Covid-19, sağlık, ekonomi, göçmenler, ırk eşitliği  ve iklim değişikliği. Sonuncusunu  özellikle merak konusu, zira kampanya sözlerini tutmak (2030'da 0 fosil elektrik) cesur dönüşüm gerektirecektir. https://t.co/inKFUuhn4h",>=40,male,non-org
9,70ec5b5c309ab32a9c12c9d2fc5a82f246402f6b42766fcb66c086851e9a43ac,,2021-01-20 20:11:34+00:00,"Yeni başkanın ilk iki haftası iklim değişikliği, sağlık sistemi ve göçmenlik konuları ile ilgili olacakmış. Güzel haber.. Dilerim başka bir yetkili çıkıp ülkemiz hakkında ileri geri konuşmaz. https://t.co/9A0kl0DwIQ",>=40,male,non-org
