,screen_name,location,created_at,text,age,gender,is_org
0,16e7110b559ad9a753af3281136152953651f3f1ad2e70fd9c55e2c2345daee6,"Turku, Suomi",2021-01-11 07:25:21+00:00,"Vastaajat kaikilla alueilla ovat sitä mieltä, että suurin pitkän aikavälin globaali haaste on ilmastonmuutos ja ympäristökysymykset. Nyt näemme selvästi sen, että terveyskriisinkin aikana ihmiset ovat tietoisia siitä, että #ilmastokriisi on käynnissä nyt ja pandemian jälkeenkin.",30-39,female,non-org
1,804fa6c4fdbbc3a520838dd72f2d2d7107b127970ea1fe65bbc70c8139ccfa39,"Sundsberg, Kirkkonummi",2021-01-10 09:39:04+00:00,"@MaaritLeinonen Kaikesta on nykyään tapana sanoa, että eivät sulje toisiaan pois. Kyllä osin sulkevat. Voimmehan me kaikki olla sadoista asioista huolissamme? 

Jos lääkärijärjestöt esittävät, että ilmastonmuutos on suurin terveysuhka, silloin se välttämättä tarkoittaa, että joku muu ei ole.",>=40,female,non-org
2,e07528e9bfceeef82b2c8674edb188022b9b63772b94197f015fc822c9a6fa93,"Helsinki, Finland",2021-01-08 10:07:55+00:00,"@mapetti Aivan. Sain vain sen kuvan, että lääkärien mukaan ilmastonmuutos on terveysvaara nimenomaan Suomessa. Sitä se voi toki ollakin, mutta asia tuntuisi vaativan lisää tutkimusta.",>=40,male,non-org
3,49b1c096d457ab23f07f1ba7f0d7549ac6ee9790fcf631f78a56c16421ef530f,,2021-01-08 08:19:13+00:00,"Onko jollekulle vielä epäselvää mitä #ilmastonmuutos tarkoittaa? Katso tuota grafiikkaa niin näet omin silmin muutoksen. 

Ihan jokainen voi tehdä jotain: Lopeta kaikki turha kuluttaminen ja matkustelu. Syö enemmän kotimaista ja lähituotettua. #terveys #hiilijalanjälki https://t.co/ftmCeuFNXh",>=40,female,non-org
4,ac27e107b9f0fd52108f3cf07a8f7b4a787b84f76ef949f5d7e4893822d1adb4,,2021-01-08 06:47:06+00:00,Tervetuloa seuraamaan Ilmastonmuutos ja terveys -akatemiaohjelman avajaisseminaaria verkossa 13.1. Tilaisuudessa esitellään #CLIHE-ohjelman tutkimushankkeet ja keskustellaan miten valmistautua ilmastonmuutoksen aiheuttamiin terveysvaikutuksiin. Lue lisää👉 https://t.co/2PreNyezE0 https://t.co/yuhl66IxS7,>=40,male,non-org
5,2a2418e8297ce459544904be8776445a5b68ead8efd9804f2b4a3d8b7dace628,,2021-01-08 06:06:25+00:00,#ilmastonmuutos on vakava #terveys'uhka. Lisäksi se vaikuttaa epäsuorasti #hyvinvointi'in ja mielenterveyteen aiheuttamalla esim #ilmastoahdistus'ta. #lääkärit julistivat #ilmastohätätila'n-toimia tarvitaan #ilmastokriisi'n hillitsemiseksi. #mielenterveys https://t.co/3c73ugBq39,>=40,female,non-org
6,c9b51c735fae20f8b81548d2bc0764e96456b13985117560459dd0f8ffc636e2,,2021-01-07 21:24:51+00:00,"Lääkärit julistivat  ilmastohätätilan:  Ilmastokriisi on  terveyskriisi, joka uhkaa myös suomalaisten terveyttä  https://t.co/w64KD8WciR #Ilmastohätätila #Ilmastonmuutos #Terveys #Lääkärit @Vastuullisuus",>=40,male,is-org
7,c9b51c735fae20f8b81548d2bc0764e96456b13985117560459dd0f8ffc636e2,,2021-01-07 19:55:01+00:00,"Lääkärit julistivat  ilmastohätätilan:  Ilmastokriisi on terveyskriisi, joka uhkaa myös suomalaisten terveyttä  https://t.co/w64KD8EAUh #Ilmastohätätila #Ilmastonmuutos #Terveys #Lääkärit @Vastuullisuus",>=40,male,is-org
8,65e3b2b644e113f8e71ab2988bc1b9213fa8f946f0a8f8951441c76133e845e6,"Jyväskylä, Suomi",2021-01-07 18:57:57+00:00,"Lääkärit julistivat ilmastohätätilan: Ilmastokriisi on terveyskriisi, joka uhkaa myös suomalaisten terveyttä. ""Ilmastonmuutos voimistaa äärimmäisiä sääilmiöitä, kuten helleaaltoja, kuivuuskausia, rankkasateita ja tulvia."" #Ilmastonmuutos #terveyshaitat https://t.co/ycsw2t0lB2",30-39,female,non-org
9,fea32bd9bc4ac2658cd05dafbb27b1ff45eb228e3cd0a7da79e0a195d24e0f81,,2021-01-07 18:21:22+00:00,"Tänään ladulla suihkiessani olin kovin onnellinen lumesta, ehkäisin tule-sairauksia, sydäntauteja ja ylipainoa. Lumettoman talven kansanterveysvaikutukset ovat vain yksi näkökulma #ilmastonmuutos’seen. Lääkäreillä lisää: #kansanterveys ⁦@DuodecimFi⁩ https://t.co/dLceniDOmq",>=40,female,non-org
