"","text","age","gender"
"1","🆕L’UE continua ad affrontare l’impatto della pandemia, ecco le priorità per il 2021:

📌Bilancio UE #QFP e Fondo per la #ripresa 
📌Cambiamento climatico #GreenDeal 
📌Tecnologia e IA
📌UE per la salute #EU4Health
📌Conferenza sul Futuro dell'Europa

ℹ️ https://t.co/CYERvuv4Iq https://t.co/mPIKRRoe2n",">=40","male"
"2","Quanto ci costa il cambiamento climatico in termini di salute?
A questa domanda hanno dato risposta l'ultimo rapporto del Lancet Countdown▶️https://t.co/VKCrpAZG0g
Anche per questo #FacciamoCausa su https://t.co/839gkGHMG5 https://t.co/kMyxkkJmy5",">=40","male"
"3","🔜L’UE continua ad affrontare l’impatto della pandemia, ecco le priorità per il 2021:

📌Bilancio UE #QFP e Fondo per la #ripresa 
📌Cambiamento climatico #GreenDeal 
📌Tecnologia e IA
📌UE per la salute #EU4Health
📌Conferenza sul Futuro dell'Europa

ℹ️ https://t.co/CYERvuv4Iq https://t.co/asmvIf16xK",">=40","male"
"4","🔜🇪🇺 L’UE in prima linea per la ripresa nel 2021.

Tra le priorità: Bilancio UE, cambiamento climatico, programma UE per la salute, servizi digitali, Conferenza sul futuro dell'Europa. 
Scopri tutti i punti dell’agenda 2021 del Parlamento europeo ⤵️

📌 https://t.co/CYERvuv4Iq https://t.co/DUTaX0Q6KL",">=40","male"
"5","Quali sono le migliori tecnologie del 2020? Emergono dalla lista di @wef e @sciam, sono 10 e riguardano salute e cambiamento climatico: microaghi per iniezioni e test indolori, pazienti virtuali, terapie digitali per diagnosi e cura👇
https://t.co/uO35t9SHdj https://t.co/eusY1JJeSr","<=18","male"
"6","For Italian speakers only: 

Ecco il mio terzo articolo per la splendida associazione ""The Black Bag""! Seguiteci sui social per rimanere aggiornati. 

Cambiamento climatico: in che modo influenza la nostra salute? https://t.co/j0zjHgpa0W 

#ClimateCrisis #publichealth #blogpost","19-29","female"
"7","#MemberNews 🇮🇹 Iosa Ghini Associati diviene la prima società di progettazione Carbon Neutral. “E' un nostro supporto concreto e sostenibile per dimostrare la vicinanza ai temi del cambiamento climatico e della salute"" dichiara il Presidente #MassimoIosaGhini @massimomig https://t.co/HyCYrN4IyQ",">=40","male"
"8","Il pianeta è malato, ha la febbre.🌏🤒

""Il cambiamento climatico è la più grande minaccia alla salute pubblica del 21simo secolo"" cit. di @WHO 

Vedi video dei Medici per XR @DoctorsXr (settembre 2020, Berna🇨🇭)👇:
https://t.co/g7N7LuHP7U

#ClimateEmergency","<=18","male"
"9","#Allevamenti intensivi = sofferenza e morte di #animali, causa #deforestazione e cambiamento climatico,  rischi per la #salute. Evolviamoci e scegliamo #vegan 🌱 Grazie @giuliainnocenzi #Piazzapulita https://t.co/ahFDwMocDS",">=40","female"
"10","Se vi venisse voglia di pettinarlo, NON fatelo! Sotto la peluria nasconde degli aculei velenosi che possono causare seri problemi di salute.

Ma la vera domanda è: a voi chi ricorda? 😬

(Gli insetti risentono tantissimo del cambiamento climatico e non solo, tutelateli 💚)","<=18","male"
