"","text","age","gender"
"1","@WilmsVal @achimdittler In über 15.000.000 Haushalte gibt es eine Holzverbrennung.
Teils durch Förderung. 

2 -fach Verrückt:
•Gesundheit wird geschädigt. 
•Wälder werden verheizt obwohl  CO2 Speicher &amp; Klimawandel ist.",">=40","male"
"2","@aqua_freak5000 @Der_Kalle Lesen Sie sich bitte in die Problematik Holz verbrennen ein. 

@SchollJorg 
@achimdittler 

Die Feinstaub Belastung und die CO2 Problematik werden bestens erklärt. 
Gesundheit &amp; Klimawandel &amp; CO2-Speicherung mit Betrachtung der oft gepriesenen ""Neutralität""

Über 15.000.000 Öfen!",">=40","male"
"3","Wie stabilisieren wir unseren Patient Erde?

Ein Arzt muss bei harten Diagnosen schnell handeln – beim #Klimawandel lassen wir uns dagegen Zeit, kritisiert Arzt und Klimaschützer Dr. Martin Herrmann.
@KlimaGesundheit
@healthforfuture
#KlimakriseISTJetzt
 https://t.co/zbHN46qRcH",">=40","male"
"4","@Joerg_Meuthen Es wird höchste Zeit, dass die rechtsbraune Panikmache gegenüber Geflüchteten aufhört und das Pack endlich die Gefahr von Klimawandel und Covid 19 anerkennt.
#AfDschadetihrergesundheit 
#AfDiststaatszersetzend",">=40","male"
"5","@PhilipPlickert bei all den Vollidioten drumherum, die sich um Unsinn wie Armut, Klimawandel, Infrastruktur oder Gesundheit Sorgen machen, bin ich froh, dass es noch Journalisten wie Sie gibt, die sich den wahren Problemen in Deutschland widmen 🙏 danke, Sie sind mein Held!","<=18","male"
"6","Warum wird eine Bedrohung unserer Umwelt #Klimawandel nicht durch das Ministerium der Gesundheit gesteuert? Müssen die Menschen erst zu Dutzenden sterben wie bei #COVID19 bevor es aktiv werden darf? Oder will es einfach nicht helfen? Unsere Gesundheit ist bedroht!",">=40","male"
"7","Herzliche Glückwünsche an @GretaThunberg, die heute 18 Jahre alt wird. Ich wünsche ihr weiterhin Kraft, Mut, Durchhaltevermögen, Energie und Gesundheit. #Umweltschutz #Klimawandel",">=40","male"
"8","@Reaver_Phoenix Ich hab da eben schon zu geschrieben, dass das Kinderkram ist. Ohne Sinn und ""hehres"" Ziel und  #Klimaschutz ist genauso egal wie die Gesundheit anderer Menschen oder #Klimawandel auch von den Mainstream Medien erfunden oder von #Gates. Echt ich halte das nicht mehr lange aus.",">=40","male"
"9","Was soll das denn bewirken? Und wo ist bitte das ""hehre"" Ziel?
Denen geht der #Klimaschutz genauso irgendwo vorbei, wie die Gesundheit anderer Menschen. Aber sicher ist der #Klimawandel auch eine Verschwörung der Mainstream Medien und von Bill #Gates .
#querdenken https://t.co/atbuz3U0Us",">=40","male"
"10","https://t.co/y4rG05AGx0

Corona-Maßnahmen Muster für Umgang mit Klimawandel 
👉 CDU-Röttgen: Die Verhaltensmuster aus Corona müssen wir auf die Klimakrise anwenden 

Was wir für ein dummes Gesülze des selbsternannten Gesundheitsgurus und Talkshow-Lautsprechers #spd-#Lauterbach…",">=40","male"
