,Year,SIDS,Climate,Health,Intersection
7,2013,SIDS,0.0,1.0,0.0
11,2014,SIDS,0.0,1.0,0.0
24,2018,SIDS,1.0,1.0,0.0
28,2019,SIDS,1.0,1.0,1.0
1,2011,Tier 1,0.4,0.93,0.0
4,2012,Tier 1,0.36,0.93,0.07
8,2013,Tier 1,0.29,0.93,0.0
12,2014,Tier 1,0.41,0.85,0.06
15,2015,Tier 1,0.47,0.97,0.11
18,2016,Tier 1,0.41,0.85,0.05
21,2017,Tier 1,0.49,0.96,0.13
25,2018,Tier 1,0.63,0.97,0.26
29,2019,Tier 1,0.68,0.95,0.29
32,2020,Tier 1,0.64,0.89,0.31
35,2021,Tier 1,0.82,0.97,0.39
2,2011,Tier 2,0.0,1.0,0.0
5,2012,Tier 2,0.47,0.94,0.12
9,2013,Tier 2,0.29,0.79,0.07
13,2014,Tier 2,0.4,0.8,0.0
16,2015,Tier 2,0.36,0.73,0.09
19,2016,Tier 2,0.33,0.83,0.25
22,2017,Tier 2,0.5,0.83,0.17
26,2018,Tier 2,0.64,0.93,0.29
30,2019,Tier 2,0.54,1.0,0.23
33,2020,Tier 2,0.42,1.0,0.08
36,2021,Tier 2,0.27,0.82,0.18
