,Year,SIDS,Climate,Health,Intersection
1,2011,SIDS,0.41,0.79,0.17
5,2012,SIDS,0.5,0.76,0.17
9,2013,SIDS,0.63,0.81,0.25
13,2014,SIDS,0.6,0.85,0.2
17,2015,SIDS,0.6,0.83,0.19
21,2016,SIDS,0.55,0.82,0.18
25,2017,SIDS,0.68,0.88,0.32
29,2018,SIDS,0.73,0.95,0.35
33,2019,SIDS,0.72,0.93,0.4
37,2020,SIDS,0.77,0.9,0.48
41,2021,SIDS,0.82,0.9,0.61
2,2011,Tier 1,0.63,0.81,0.17
6,2012,Tier 1,0.55,0.78,0.12
10,2013,Tier 1,0.55,0.77,0.13
14,2014,Tier 1,0.54,0.8,0.13
18,2015,Tier 1,0.56,0.8,0.14
22,2016,Tier 1,0.57,0.81,0.14
26,2017,Tier 1,0.57,0.81,0.15
30,2018,Tier 1,0.59,0.82,0.17
34,2019,Tier 1,0.62,0.84,0.18
38,2020,Tier 1,0.7,0.87,0.27
42,2021,Tier 1,0.72,0.89,0.35
3,2011,Tier 2,0.66,0.83,0.21
7,2012,Tier 2,0.59,0.83,0.15
11,2013,Tier 2,0.59,0.86,0.21
15,2014,Tier 2,0.56,0.85,0.16
19,2015,Tier 2,0.57,0.82,0.17
23,2016,Tier 2,0.56,0.83,0.21
27,2017,Tier 2,0.62,0.86,0.18
31,2018,Tier 2,0.62,0.85,0.22
35,2019,Tier 2,0.62,0.87,0.27
39,2020,Tier 2,0.62,0.88,0.31
43,2021,Tier 2,0.64,0.84,0.33
